Test Case ID,Test Case Name,Test Case Description,Test Design Step,Test Design Description,Expected Result
,,,step 4,Enter valid Username and Password in login page text box,User should naviagte to Kosmik Home Page and see below fields in the left corner Registration ADT Feedback Help Line
,,,step 5,Click on Registraion link in home page,User should Naviagte to Permanent Registration Page
,,,step 6,Valiadte Permanent Registration Page,"User should see below fields Patient Category*            
 Title,
 First Name,        
 Middle Name, 
 Last Name ,
 DOB ,
 Age ,
 Gender, 
 Martial Status 
 Religion ,
 Primary Language, 
 Relation ,
 Mother's Name, 
 Patient Identifier, 
 PAN/Voter ID/Aadhar, 
Nos ,
 Nationality, 
 VIP ,
 Education, 
 Occupation, 
 Blood Group, 
 Citizenship ,
 Senior Citizen Proof, 
Submitted,
 Permanent Address-
 Address1,
 Phone,
 Email ,
 Country, 
Current Address - 
 Address2 ,
 Pin or Zip,"
,,,step 7,"select patient category dropdown (note: options: Pay Patient, Self, Staff, Insurance, Staff Dependent appear)",All values should be visible and selectable
,,,step 8,"select Title dropdown   (note: options: Select, Mr., Ms., Others)",user should be able to see and select
,,,step 9,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 10,"enter invalid values       (note: Invalid values like ""a"" or ""@123"")","Should reject, show error"
,,,step 11,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 12,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 13,"enter the valid values note: valid values like ""32""",textbox should accept the values
,,,step 14,Select any valid date,Date should get entered in the field
,,,step 15,"select Gender dropdown     (note: Options: Male, Female, Others)",user should be able to see and select options
,,,step 16,"select Marital Status dropdown     (note: Options: Single, Married)",user should be able to see and select options
,,,step 17,"select Primary Language dropdown     (note: Should list languages like Telugu, Hindi, English, etc.)",user should be able to see and select options
,,,step 18,"select Relation dropdown     (note: Options: Brother, Father, Wife, Mother)",user should be able to see and select options
,,,step 19,"select Patient Identifier dropdown     (note: Options: Voter ID, PAN Card, Driving Licence, Aadhar Card, Others)",user should be able to see and select options
,,,step 20,Enter alphanumeric input,Should only accept valid ID format
,,,step 21,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 22,"select nationality dropdown       (note: options: Indian, Britain, USA)",user should be able to see and select options
PR_017,TC17_Verify VIP dropdown in permanent registration page,Verify VIP dropdown in permanent registration page,step 1,open the browser,browser should be opened
,,,step 2,enter kosmik url     (note: https://www.kosmiktechnologies.com/seleniumLiveProject/kosmik-hms/master.php),user should navigate to kosmik login page
,,,step 3,Validate Kosmik login Page,User should see login section in the middle of the page
,,,step 4,Enter valid Username and Password in login page text box,User should naviagte to Kosmik Home Page and see below fields in the left corner Registration ADT Feedback Help Line
,,,step 5,Click on Registraion link in home page,User should Naviagte to Permanent Registration Page
,,,step 6,Valiadte Permanent Registration Page,"User should see below fields Patient Category*            
 Title,
 First Name,        
 Middle Name, 
 Last Name ,
 DOB ,
 Age ,
 Gender, 
 Martial Status 
 Religion ,
 Primary Language, 
 Relation ,
 Mother's Name, 
 Patient Identifier, 
 PAN/Voter ID/Aadhar, 
Nos ,
 Nationality, 
 VIP ,
 Education, 
 Occupation, 
 Blood Group, 
 Citizenship ,
 Senior Citizen Proof, 
Submitted,
 Permanent Address-
 Address1,
 Phone,
 Email ,
 Country, 
Current Address - 
 Address2 ,
 Pin or Zip,"
,,,step 7,"select patient category dropdown (note: options: Pay Patient, Self, Staff, Insurance, Staff Dependent appear)",All values should be visible and selectable
,,,step 8,"select Title dropdown   (note: options: Select, Mr., Ms., Others)",user should be able to see and select
,,,step 9,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 10,"enter invalid values       (note: Invalid values like ""a"" or ""@123"")","Should reject, show error"
,,,step 11,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 12,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 13,"enter the valid values note: valid values like ""32""",textbox should accept the values
,,,step 14,Select any valid date,Date should get entered in the field
,,,step 15,"select Gender dropdown     (note: Options: Male, Female, Others)",user should be able to see and select options
,,,step 16,"select Marital Status dropdown     (note: Options: Single, Married)",user should be able to see and select options
,,,step 17,"select Primary Language dropdown     (note: Should list languages like Telugu, Hindi, English, etc.)",user should be able to see and select options
,,,step 18,"select Relation dropdown     (note: Options: Brother, Father, Wife, Mother)",user should be able to see and select options
,,,step 19,"select Patient Identifier dropdown     (note: Options: Voter ID, PAN Card, Driving Licence, Aadhar Card, Others)",user should be able to see and select options
,,,step 20,Enter alphanumeric input,Should only accept valid ID format
,,,step 21,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 22,"select nationality dropdown       (note: options: Indian, Britain, USA)",user should be able to see and select options
,,,step 23,"select dropdown   (note: Options: Yes, No)",user should be able to see and select options
PR_018,TC18_Verify Education dropdown in permanent registration page,Verify Education dropdown in permanent registration page,step 1,open the browser,browser should be opened
,,,step 2,enter kosmik url     (note: https://www.kosmiktechnologies.com/seleniumLiveProject/kosmik-hms/master.php),user should navigate to kosmik login page
,,,step 3,Validate Kosmik login Page,User should see login section in the middle of the page
,,,step 4,Enter valid Username and Password in login page text box,User should naviagte to Kosmik Home Page and see below fields in the left corner Registration ADT Feedback Help Line
,,,step 5,Click on Registraion link in home page,User should Naviagte to Permanent Registration Page
,,,step 6,Valiadte Permanent Registration Page,"User should see below fields Patient Category*            
 Title,
 First Name,        
 Middle Name, 
 Last Name ,
 DOB ,
 Age ,
 Gender, 
 Martial Status 
 Religion ,
 Primary Language, 
 Relation ,
 Mother's Name, 
 Patient Identifier, 
 PAN/Voter ID/Aadhar, 
Nos ,
 Nationality, 
 VIP ,
 Education, 
 Occupation, 
 Blood Group, 
 Citizenship ,
 Senior Citizen Proof, 
Submitted,
 Permanent Address-
 Address1,
 Phone,
 Email ,
 Country, 
Current Address - 
 Address2 ,
 Pin or Zip,"
,,,step 7,"select patient category dropdown (note: options: Pay Patient, Self, Staff, Insurance, Staff Dependent appear)",All values should be visible and selectable
,,,step 8,"select Title dropdown   (note: options: Select, Mr., Ms., Others)",user should be able to see and select
,,,step 9,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 10,"enter invalid values       (note: Invalid values like ""a"" or ""@123"")","Should reject, show error"
,,,step 11,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 12,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 13,"enter the valid values note: valid values like ""32""",textbox should accept the values
,,,step 14,Select any valid date,Date should get entered in the field
,,,step 15,"select Gender dropdown     (note: Options: Male, Female, Others)",user should be able to see and select options
,,,step 16,"select Marital Status dropdown     (note: Options: Single, Married)",user should be able to see and select options
,,,step 17,"select Primary Language dropdown     (note: Should list languages like Telugu, Hindi, English, etc.)",user should be able to see and select options
,,,step 18,"select Relation dropdown     (note: Options: Brother, Father, Wife, Mother)",user should be able to see and select options
,,,step 19,"select Patient Identifier dropdown     (note: Options: Voter ID, PAN Card, Driving Licence, Aadhar Card, Others)",user should be able to see and select options
,,,step 20,Enter alphanumeric input,Should only accept valid ID format
,,,step 21,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 22,"select nationality dropdown       (note: options: Indian, Britain, USA)",user should be able to see and select options
,,,step 23,"select dropdown   (note: Options: Yes, No)",user should be able to see and select options
,,,step 24,"select Education dropdown     (note: Options: MCA, B.Tech, B.Sc, Others)",user should be able to see and select options
PR_019,TC19_Verify Occupation dropdown in permanent registration page,Verify Occupation dropdown in permanent registration page,step 1,open the browser,browser should be opened
,,,step 2,enter kosmik url     (note: https://www.kosmiktechnologies.com/seleniumLiveProject/kosmik-hms/master.php),user should navigate to kosmik login page
,,,step 3,Validate Kosmik login Page,User should see login section in the middle of the page
,,,step 4,Enter valid Username and Password in login page text box,User should naviagte to Kosmik Home Page and see below fields in the left corner Registration ADT Feedback Help Line
,,,step 5,Click on Registraion link in home page,User should Naviagte to Permanent Registration Page
,,,step 6,Valiadte Permanent Registration Page,"User should see below fields Patient Category*            
 Title,
 First Name,        
 Middle Name, 
 Last Name ,
 DOB ,
 Age ,
 Gender, 
 Martial Status 
 Religion ,
 Primary Language, 
 Relation ,
 Mother's Name, 
 Patient Identifier, 
 PAN/Voter ID/Aadhar, 
Nos ,
 Nationality, 
 VIP ,
 Education, 
 Occupation, 
 Blood Group, 
 Citizenship ,
 Senior Citizen Proof, 
Submitted,
 Permanent Address-
 Address1,
 Phone,
 Email ,
 Country, 
Current Address - 
 Address2 ,
 Pin or Zip,"
,,,step 7,"select patient category dropdown (note: options: Pay Patient, Self, Staff, Insurance, Staff Dependent appear)",All values should be visible and selectable
,,,step 8,"select Title dropdown   (note: options: Select, Mr., Ms., Others)",user should be able to see and select
,,,step 9,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 10,"enter invalid values       (note: Invalid values like ""a"" or ""@123"")","Should reject, show error"
,,,step 11,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 12,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 13,"enter the valid values note: valid values like ""32""",textbox should accept the values
,,,step 14,Select any valid date,Date should get entered in the field
,,,step 15,"select Gender dropdown     (note: Options: Male, Female, Others)",user should be able to see and select options
,,,step 16,"select Marital Status dropdown     (note: Options: Single, Married)",user should be able to see and select options
,,,step 17,"select Primary Language dropdown     (note: Should list languages like Telugu, Hindi, English, etc.)",user should be able to see and select options
,,,step 18,"select Relation dropdown     (note: Options: Brother, Father, Wife, Mother)",user should be able to see and select options
,,,step 19,"select Patient Identifier dropdown     (note: Options: Voter ID, PAN Card, Driving Licence, Aadhar Card, Others)",user should be able to see and select options
,,,step 20,Enter alphanumeric input,Should only accept valid ID format
,,,step 21,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 22,"select nationality dropdown       (note: options: Indian, Britain, USA)",user should be able to see and select options
,,,step 23,"select dropdown   (note: Options: Yes, No)",user should be able to see and select options
,,,step 24,"select Education dropdown     (note: Options: MCA, B.Tech, B.Sc, Others)",user should be able to see and select options
,,,step 25,"select Occupation dropdown    (note: Options: Employee, Farmer, Teacher)",user should be able to see and select options
PR_020,TC20_Verify Blood Group dropdown in permanent registration page,Verify Blood Group dropdown in permanent registration page,step 1,open the browser,browser should be opened
,,,step 2,enter kosmik url     (note: https://www.kosmiktechnologies.com/seleniumLiveProject/kosmik-hms/master.php),user should navigate to kosmik login page
,,,step 3,Validate Kosmik login Page,User should see login section in the middle of the page
,,,step 4,Enter valid Username and Password in login page text box,User should naviagte to Kosmik Home Page and see below fields in the left corner Registration ADT Feedback Help Line
,,,step 5,Click on Registraion link in home page,User should Naviagte to Permanent Registration Page
,,,step 6,Valiadte Permanent Registration Page,"User should see below fields Patient Category*            
 Title,
 First Name,        
 Middle Name, 
 Last Name ,
 DOB ,
 Age ,
 Gender, 
 Martial Status 
 Religion ,
 Primary Language, 
 Relation ,
 Mother's Name, 
 Patient Identifier, 
 PAN/Voter ID/Aadhar, 
Nos ,
 Nationality, 
 VIP ,
 Education, 
 Occupation, 
 Blood Group, 
 Citizenship ,
 Senior Citizen Proof, 
Submitted,
 Permanent Address-
 Address1,
 Phone,
 Email ,
 Country, 
Current Address - 
 Address2 ,
 Pin or Zip,"
,,,step 7,"select patient category dropdown (note: options: Pay Patient, Self, Staff, Insurance, Staff Dependent appear)",All values should be visible and selectable
,,,step 8,"select Title dropdown   (note: options: Select, Mr., Ms., Others)",user should be able to see and select
,,,step 9,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 10,"enter invalid values       (note: Invalid values like ""a"" or ""@123"")","Should reject, show error"
,,,step 11,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 12,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 13,"enter the valid values note: valid values like ""32""",textbox should accept the values
,,,step 14,Select any valid date,Date should get entered in the field
,,,step 15,"select Gender dropdown     (note: Options: Male, Female, Others)",user should be able to see and select options
,,,step 16,"select Marital Status dropdown     (note: Options: Single, Married)",user should be able to see and select options
,,,step 17,"select Primary Language dropdown     (note: Should list languages like Telugu, Hindi, English, etc.)",user should be able to see and select options
,,,step 18,"select Relation dropdown     (note: Options: Brother, Father, Wife, Mother)",user should be able to see and select options
,,,step 19,"select Patient Identifier dropdown     (note: Options: Voter ID, PAN Card, Driving Licence, Aadhar Card, Others)",user should be able to see and select options
,,,step 20,Enter alphanumeric input,Should only accept valid ID format
,,,step 21,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 22,"select nationality dropdown       (note: options: Indian, Britain, USA)",user should be able to see and select options
,,,step 23,"select dropdown   (note: Options: Yes, No)",user should be able to see and select options
,,,step 24,"select Education dropdown     (note: Options: MCA, B.Tech, B.Sc, Others)",user should be able to see and select options
,,,step 25,"select Occupation dropdown    (note: Options: Employee, Farmer, Teacher)",user should be able to see and select options
,,,step 26,"select Blood Group dropdown    (note: Options: A+, B+, AB-, etc.)",user should be able to see and select options
PR_021,TC21_Verify Citizenship dropdown in permanent registration page,Verify Citizenship dropdown in permanent registration page,step 1,open the browser,browser should be opened
,,,step 2,enter kosmik url     (note: https://www.kosmiktechnologies.com/seleniumLiveProject/kosmik-hms/master.php),user should navigate to kosmik login page
,,,step 3,Validate Kosmik login Page,User should see login section in the middle of the page
,,,step 4,Enter valid Username and Password in login page text box,User should naviagte to Kosmik Home Page and see below fields in the left corner Registration ADT Feedback Help Line
,,,step 5,Click on Registraion link in home page,User should Naviagte to Permanent Registration Page
,,,step 6,Valiadte Permanent Registration Page,"User should see below fields Patient Category*            
 Title,
 First Name,        
 Middle Name, 
 Last Name ,
 DOB ,
 Age ,
 Gender, 
 Martial Status 
 Religion ,
 Primary Language, 
 Relation ,
 Mother's Name, 
 Patient Identifier, 
 PAN/Voter ID/Aadhar, 
Nos ,
 Nationality, 
 VIP ,
 Education, 
 Occupation, 
 Blood Group, 
 Citizenship ,
 Senior Citizen Proof, 
Submitted,
 Permanent Address-
 Address1,
 Phone,
 Email ,
 Country, 
Current Address - 
 Address2 ,
 Pin or Zip,"
,,,step 7,"select patient category dropdown (note: options: Pay Patient, Self, Staff, Insurance, Staff Dependent appear)",All values should be visible and selectable
,,,step 8,"select Title dropdown   (note: options: Select, Mr., Ms., Others)",user should be able to see and select
,,,step 9,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 10,"enter invalid values       (note: Invalid values like ""a"" or ""@123"")","Should reject, show error"
,,,step 11,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 12,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 13,"enter the valid values note: valid values like ""32""",textbox should accept the values
,,,step 14,Select any valid date,Date should get entered in the field
,,,step 15,"select Gender dropdown     (note: Options: Male, Female, Others)",user should be able to see and select options
,,,step 16,"select Marital Status dropdown     (note: Options: Single, Married)",user should be able to see and select options
,,,step 17,"select Primary Language dropdown     (note: Should list languages like Telugu, Hindi, English, etc.)",user should be able to see and select options
,,,step 18,"select Relation dropdown     (note: Options: Brother, Father, Wife, Mother)",user should be able to see and select options
,,,step 19,"select Patient Identifier dropdown     (note: Options: Voter ID, PAN Card, Driving Licence, Aadhar Card, Others)",user should be able to see and select options
,,,step 20,Enter alphanumeric input,Should only accept valid ID format
,,,step 21,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 22,"select nationality dropdown       (note: options: Indian, Britain, USA)",user should be able to see and select options
,,,step 23,"select dropdown   (note: Options: Yes, No)",user should be able to see and select options
,,,step 24,"select Education dropdown     (note: Options: MCA, B.Tech, B.Sc, Others)",user should be able to see and select options
,,,step 25,"select Occupation dropdown    (note: Options: Employee, Farmer, Teacher)",user should be able to see and select options
,,,step 26,"select Blood Group dropdown    (note: Options: A+, B+, AB-, etc.)",user should be able to see and select options
,,,step 27,"select Citizenship dropdown    (note: Options: Indian, American, etc.)",user should be able to see and select options
PR_022,TC22_Verify Senior Citizen Proof dropdown in permanent registration page,Verify Senior Citizen Proof dropdown in permanent registration page,step 1,open the browser,browser should be opened
,,,step 2,enter kosmik url     (note: https://www.kosmiktechnologies.com/seleniumLiveProject/kosmik-hms/master.php),user should navigate to kosmik login page
,,,step 3,Validate Kosmik login Page,User should see login section in the middle of the page
,,,step 4,Enter valid Username and Password in login page text box,User should naviagte to Kosmik Home Page and see below fields in the left corner Registration ADT Feedback Help Line
,,,step 5,Click on Registraion link in home page,User should Naviagte to Permanent Registration Page
,,,step 6,Valiadte Permanent Registration Page,"User should see below fields Patient Category*            
 Title,
 First Name,        
 Middle Name, 
 Last Name ,
 DOB ,
 Age ,
 Gender, 
 Martial Status 
 Religion ,
 Primary Language, 
 Relation ,
 Mother's Name, 
 Patient Identifier, 
 PAN/Voter ID/Aadhar, 
Nos ,
 Nationality, 
 VIP ,
 Education, 
 Occupation, 
 Blood Group, 
 Citizenship ,
 Senior Citizen Proof, 
Submitted,
 Permanent Address-
 Address1,
 Phone,
 Email ,
 Country, 
Current Address - 
 Address2 ,
 Pin or Zip,"
,,,step 7,"select patient category dropdown (note: options: Pay Patient, Self, Staff, Insurance, Staff Dependent appear)",All values should be visible and selectable
,,,step 8,"select Title dropdown   (note: options: Select, Mr., Ms., Others)",user should be able to see and select
,,,step 9,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 10,"enter invalid values       (note: Invalid values like ""a"" or ""@123"")","Should reject, show error"
,,,step 11,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 12,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 13,"enter the valid values note: valid values like ""32""",textbox should accept the values
,,,step 14,Select any valid date,Date should get entered in the field
,,,step 15,"select Gender dropdown     (note: Options: Male, Female, Others)",user should be able to see and select options
,,,step 16,"select Marital Status dropdown     (note: Options: Single, Married)",user should be able to see and select options
,,,step 17,"select Primary Language dropdown     (note: Should list languages like Telugu, Hindi, English, etc.)",user should be able to see and select options
,,,step 18,"select Relation dropdown     (note: Options: Brother, Father, Wife, Mother)",user should be able to see and select options
,,,step 19,"select Patient Identifier dropdown     (note: Options: Voter ID, PAN Card, Driving Licence, Aadhar Card, Others)",user should be able to see and select options
,,,step 20,Enter alphanumeric input,Should only accept valid ID format
,,,step 21,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 22,"select nationality dropdown       (note: options: Indian, Britain, USA)",user should be able to see and select options
,,,step 23,"select dropdown   (note: Options: Yes, No)",user should be able to see and select options
,,,step 24,"select Education dropdown     (note: Options: MCA, B.Tech, B.Sc, Others)",user should be able to see and select options
,,,step 25,"select Occupation dropdown    (note: Options: Employee, Farmer, Teacher)",user should be able to see and select options
,,,step 26,"select Blood Group dropdown    (note: Options: A+, B+, AB-, etc.)",user should be able to see and select options
,,,step 27,"select Citizenship dropdown    (note: Options: Indian, American, etc.)",user should be able to see and select options
,,,step 28,"select dropdown   (note: Options: Yes, No)",user should be able to see and select options
PR_023,TC23_Verify Address1 accepts text input in permanent registration page,Verify Address1 accepts text input in permanent registration page,step 1,open the browser,browser should be opened
,,,step 2,enter kosmik url     (note: https://www.kosmiktechnologies.com/seleniumLiveProject/kosmik-hms/master.php),user should navigate to kosmik login page
,,,step 3,Validate Kosmik login Page,User should see login section in the middle of the page
,,,step 4,Enter valid Username and Password in login page text box,User should naviagte to Kosmik Home Page and see below fields in the left corner Registration ADT Feedback Help Line
,,,step 5,Click on Registraion link in home page,User should Naviagte to Permanent Registration Page
,,,step 6,Valiadte Permanent Registration Page,"User should see below fields Patient Category*            
 Title,
 First Name,        
 Middle Name, 
 Last Name ,
 DOB ,
 Age ,
 Gender, 
 Martial Status 
 Religion ,
 Primary Language, 
 Relation ,
 Mother's Name, 
 Patient Identifier, 
 PAN/Voter ID/Aadhar, 
Nos ,
 Nationality, 
 VIP ,
 Education, 
 Occupation, 
 Blood Group, 
 Citizenship ,
 Senior Citizen Proof, 
Submitted,
 Permanent Address-
 Address1,
 Phone,
 Email ,
 Country, 
Current Address - 
 Address2 ,
 Pin or Zip,"
,,,step 7,"select patient category dropdown (note: options: Pay Patient, Self, Staff, Insurance, Staff Dependent appear)",All values should be visible and selectable
,,,step 8,"select Title dropdown   (note: options: Select, Mr., Ms., Others)",user should be able to see and select
,,,step 9,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 10,"enter invalid values       (note: Invalid values like ""a"" or ""@123"")","Should reject, show error"
,,,step 11,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 12,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 13,"enter the valid values note: valid values like ""32""",textbox should accept the values
,,,step 14,Select any valid date,Date should get entered in the field
,,,step 15,"select Gender dropdown     (note: Options: Male, Female, Others)",user should be able to see and select options
,,,step 16,"select Marital Status dropdown     (note: Options: Single, Married)",user should be able to see and select options
,,,step 17,"select Primary Language dropdown     (note: Should list languages like Telugu, Hindi, English, etc.)",user should be able to see and select options
,,,step 18,"select Relation dropdown     (note: Options: Brother, Father, Wife, Mother)",user should be able to see and select options
,,,step 19,"select Patient Identifier dropdown     (note: Options: Voter ID, PAN Card, Driving Licence, Aadhar Card, Others)",user should be able to see and select options
,,,step 20,Enter alphanumeric input,Should only accept valid ID format
,,,step 21,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 22,"select nationality dropdown       (note: options: Indian, Britain, USA)",user should be able to see and select options
,,,step 23,"select dropdown   (note: Options: Yes, No)",user should be able to see and select options
,,,step 24,"select Education dropdown     (note: Options: MCA, B.Tech, B.Sc, Others)",user should be able to see and select options
,,,step 25,"select Occupation dropdown    (note: Options: Employee, Farmer, Teacher)",user should be able to see and select options
,,,step 26,"select Blood Group dropdown    (note: Options: A+, B+, AB-, etc.)",user should be able to see and select options
,,,step 27,"select Citizenship dropdown    (note: Options: Indian, American, etc.)",user should be able to see and select options
,,,step 28,"select dropdown   (note: Options: Yes, No)",user should be able to see and select options
,,,step 29,"Enter alphanumeric text   (note: Example: ""123 Main Street"")",textbox should accept the values
PR_024,TC24_Verify Address2 accepts text input in permanent registration page,Verify Address2 accepts text input in permanent registration page,step 1,open the browser,browser should be opened
,,,step 2,enter kosmik url     (note: https://www.kosmiktechnologies.com/seleniumLiveProject/kosmik-hms/master.php),user should navigate to kosmik login page
,,,step 3,Validate Kosmik login Page,User should see login section in the middle of the page
,,,step 4,Enter valid Username and Password in login page text box,User should naviagte to Kosmik Home Page and see below fields in the left corner Registration ADT Feedback Help Line
,,,step 5,Click on Registraion link in home page,User should Naviagte to Permanent Registration Page
,,,step 6,Valiadte Permanent Registration Page,"User should see below fields Patient Category*            
 Title,
 First Name,        
 Middle Name, 
 Last Name ,
 DOB ,
 Age ,
 Gender, 
 Martial Status 
 Religion ,
 Primary Language, 
 Relation ,
 Mother's Name, 
 Patient Identifier, 
 PAN/Voter ID/Aadhar, 
Nos ,
 Nationality, 
 VIP ,
 Education, 
 Occupation, 
 Blood Group, 
 Citizenship ,
 Senior Citizen Proof, 
Submitted,
 Permanent Address-
 Address1,
 Phone,
 Email ,
 Country, 
Current Address - 
 Address2 ,
 Pin or Zip,"
,,,step 7,"select patient category dropdown (note: options: Pay Patient, Self, Staff, Insurance, Staff Dependent appear)",All values should be visible and selectable
,,,step 8,"select Title dropdown   (note: options: Select, Mr., Ms., Others)",user should be able to see and select
,,,step 9,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 10,"enter invalid values       (note: Invalid values like ""a"" or ""@123"")","Should reject, show error"
,,,step 11,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 12,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 13,"enter the valid values note: valid values like ""32""",textbox should accept the values
,,,step 14,Select any valid date,Date should get entered in the field
,,,step 15,"select Gender dropdown     (note: Options: Male, Female, Others)",user should be able to see and select options
,,,step 16,"select Marital Status dropdown     (note: Options: Single, Married)",user should be able to see and select options
,,,step 17,"select Primary Language dropdown     (note: Should list languages like Telugu, Hindi, English, etc.)",user should be able to see and select options
,,,step 18,"select Relation dropdown     (note: Options: Brother, Father, Wife, Mother)",user should be able to see and select options
,,,step 19,"select Patient Identifier dropdown     (note: Options: Voter ID, PAN Card, Driving Licence, Aadhar Card, Others)",user should be able to see and select options
,,,step 20,Enter alphanumeric input,Should only accept valid ID format
,,,step 21,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 22,"select nationality dropdown       (note: options: Indian, Britain, USA)",user should be able to see and select options
,,,step 23,"select dropdown   (note: Options: Yes, No)",user should be able to see and select options
,,,step 24,"select Education dropdown     (note: Options: MCA, B.Tech, B.Sc, Others)",user should be able to see and select options
,,,step 25,"select Occupation dropdown    (note: Options: Employee, Farmer, Teacher)",user should be able to see and select options
,,,step 26,"select Blood Group dropdown    (note: Options: A+, B+, AB-, etc.)",user should be able to see and select options
,,,step 27,"select Citizenship dropdown    (note: Options: Indian, American, etc.)",user should be able to see and select options
,,,step 28,"select dropdown   (note: Options: Yes, No)",user should be able to see and select options
,,,step 29,"Enter alphanumeric text   (note: Example: ""123 Main Street"")ù",textbox should accept the values
,,,step 30,"Enter alphanumeric text   (note: Example: ""123 Main Street"")ù",textbox should accept the values
PR_025,TC25_Verify phone field text box in permanent registration page,Verify phone field text box in permanent registration page,step 1,open the browser,browser should be opened
,,,step 2,enter kosmik url     (note: https://www.kosmiktechnologies.com/seleniumLiveProject/kosmik-hms/master.php),user should navigate to kosmik login page
,,,step 3,Validate Kosmik login Page,User should see login section in the middle of the page
,,,step 4,Enter valid Username and Password in login page text box,User should naviagte to Kosmik Home Page and see below fields in the left corner Registration ADT Feedback Help Line
,,,step 5,Click on Registraion link in home page,User should Naviagte to Permanent Registration Page
,,,step 6,Valiadte Permanent Registration Page,"User should see below fields Patient Category*            
 Title,
 First Name,        
 Middle Name, 
 Last Name ,
 DOB ,
 Age ,
 Gender, 
 Martial Status 
 Religion ,
 Primary Language, 
 Relation ,
 Mother's Name, 
 Patient Identifier, 
 PAN/Voter ID/Aadhar, 
Nos ,
 Nationality, 
 VIP ,
 Education, 
 Occupation, 
 Blood Group, 
 Citizenship ,
 Senior Citizen Proof, 
Submitted,
 Permanent Address-
 Address1,
 Phone,
 Email ,
 Country, 
Current Address - 
 Address2 ,
 Pin or Zip,"
,,,step 7,"select patient category dropdown (note: options: Pay Patient, Self, Staff, Insurance, Staff Dependent appear)",All values should be visible and selectable
,,,step 8,"select Title dropdown   (note: options: Select, Mr., Ms., Others)",user should be able to see and select
,,,step 9,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 10,"enter invalid values       (note: Invalid values like ""a"" or ""@123"")","Should reject, show error"
,,,step 11,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 12,"enter the valid values   (note: valid values like ""avjnjdsk"")",textbox should accept the values
,,,step 13,"enter the valid values note: valid values like ""32""",textbox should accept the values
,,,step 14,Select any valid date,Date should get entered in the field
,,,step 15,"select Gender dropdown     (note: Options: Male, Female, Others)",user should be able to see and select options
,,,step 16,"select Marital Status dropdown     (note: Options: Single, Married)",user should be able to see and select options
,,,step 17,"select Primary Language dropdown     (note: Should list languages like Telugu, Hindi, English, etc.)",user should be able to see and select options
